pref_code,pref_name,region,label,url,note,checked_at
01,北海道,北海道,初心者講習 日程,https://www.police.pref.hokkaido.lg.jp/info/seian/jutohokaisei-sinsei/kyoka_koushu/kyoka-koushu.html,shoothunt参照,2025-09-11
02,青森県,東北,初心者講習 日程,https://www.police.pref.aomori.jp/seianbu/seian_kikaku/kikenbutukakari/kousyuukai.html,shoothunt参照,2025-09-11
03,岩手県,東北,初心者講習 日程,https://www.police.pref.miyagi.jp/seian/kyoninka/kyokasinsei/ryoujuu_syosinsya_kousyu.html,shoothunt参照,2025-09-11
04,宮城県,東北,初心者講習 日程,https://www.police.pref.miyagi.jp/seian/kyoninka/kyokasinsei/ryoujuu_syosinsya_kousyu.html,shoothunt参照,2025-09-11
05,秋田県,東北,初心者講習 日程,https://www.police.pref.akita.lg.jp/kenkei/news-list,shoothunt参照,2025-09-11
06,山形県,東北,初心者講習 日程,https://www.pref.yamagata.jp/800028/kensei/police/procedures/juuhou/index.html,shoothunt参照,2025-09-11
07,福島県,東北,初心者講習 日程,https://www.police.pref.fukushima.jp/05_01tetuduki.html,shoothunt参照,2025-09-11
08,茨城県,関東,初心者講習 日程,https://www.pref.ibaraki.jp/kenkei/a06_shinsei/swords_firearms/swords_firearms.html,shoothunt参照,2025-09-11
09,栃木県,関東,初心者講習 日程,https://www.pref.tochigi.lg.jp/keisatu/n13/first-level/ryoujyu_syoji_kyokasinsei.html,shoothunt参照,2025-09-11
10,群馬県,関東,初心者講習 日程,https://www.police.pref.gunma.jp/28785.html,shoothunt参照,2025-09-11
11,埼玉県,関東,初心者講習 日程,https://www.police.pref.saitama.lg.jp/c0050/shinse/ju-kousyu1.html,shoothunt参照,2025-09-11
12,千葉県,関東,初心者講習 日程,https://www.police.pref.chiba.jp/fuhoka/window_hunting_school-00_01.html,shoothunt参照,2025-09-11
13,東京都,関東,初心者講習 日程,https://www.keishicho.metro.tokyo.lg.jp/about_mpd/welcome/event_koshu/koshu/koshukai.html,shoothunt参照,2025-09-11
14,神奈川県,関東,初心者講習 日程,https://www.police.pref.kanagawa.jp/tetsuzuki/koshu/mesd0072.html,shoothunt参照,2025-09-11
15,新潟県,中部,初心者講習 日程,https://www.pref.niigata.lg.jp/site/kenkei/tetuzuki-keibigyou-1-ryoujuu-ryoujuu-kousyuu.html,shoothunt参照,2025-09-11
16,富山県,中部,初心者講習 日程,https://police.pref.toyama.jp/6108/anzen/seikatsuanzen/juuhoutoukenrui/kj00010340/kj00010340-001-01.html,shoothunt参照,2025-09-11
17,石川県,中部,初心者講習 日程,https://www2.police.pref.ishikawa.lg.jp/security/security03/,shoothunt参照,2025-09-11
18,福井県,中部,初心者講習 日程,https://www.pref.fukui.lg.jp/kenkei/doc/kenkei/sinsei_d/fil/ryoujukoshu.pdf,shoothunt参照,2025-09-11
19,山梨県,中部,初心者講習 日程,https://www.pref.yamanashi.jp/police/p_seikankyo/jyuho/jyuhousinsei.html,shoothunt参照,2025-09-11
20,長野県,中部,初心者講習 日程,https://www.pref.nagano.lg.jp/police/shinsei/seian/ryouju/shoshinsha.html,shoothunt参照,2025-09-11
21,岐阜県,中部,初心者講習 日程,https://www.pref.gifu.lg.jp/site/police/1723.html,shoothunt参照,2025-09-11
22,静岡県,中部,初心者講習 日程,https://www.pref.shizuoka.jp/police/shinse/seikatsu/ryoju/,shoothunt参照,2025-09-11
23,愛知県,中部,初心者講習 日程,https://www.pref.aichi.jp/police/shinsei/jutouhou/ryouju.html,shoothunt参照,2025-09-11
24,三重県,近畿,初心者講習 日程,https://www.police.pref.mie.jp/procedures/ryozyu_sinsei.html,shoothunt参照,2025-09-11
25,滋賀県,近畿,初心者講習 日程,https://www.pref.shiga.lg.jp/police/tetuzuki/304034/303873/104428.html,shoothunt参照,2025-09-11
26,京都府,近畿,初心者講習 日程,https://www.pref.kyoto.jp/fukei/site/seiki_j/koshu/index.html,shoothunt参照,2025-09-11
27,大阪府,近畿,初心者講習 日程,https://www.police.pref.osaka.lg.jp/tetsuduki/ninkyoka/7/2/5015.html,shoothunt参照,2025-09-11
28,兵庫県,近畿,初心者講習 日程,https://www.police.pref.hyogo.lg.jp/tetuduki/ryoju/index.htm,shoothunt参照,2025-09-11
29,奈良県,近畿,初心者講習 日程,https://www.police.pref.nara.jp/0000000820.html,shoothunt参照,2025-09-11
30,和歌山県,近畿,初心者講習 日程,https://www.police.pref.wakayama.lg.jp/03_soudan/index.html,shoothunt参照,2025-09-11
31,鳥取県,中国,初心者講習 日程,https://www.pref.tottori.lg.jp/290572.htm,shoothunt参照,2025-09-11
32,島根県,中国,初心者講習 日程,https://www.pref.shimane.lg.jp/police/05_application_and_procedures/business_licensing/ryoujyu_syoji/ryoujyu_syoji_tetuduki.html,shoothunt参照,2025-09-11
33,岡山県,中国,初心者講習 日程,https://www.pref.okayama.jp/page/296340.html,shoothunt参照,2025-09-11
34,広島県,中国,初心者講習 日程,https://www.pref.hiroshima.lg.jp/site/police/ryoujyuukousyuukai2025.html,shoothunt参照,2025-09-11
35,山口県,中国,初心者講習 日程,https://www.pref.yamaguchi.lg.jp/site/police/11163.html,shoothunt参照,2025-09-11
36,徳島県,四国,初心者講習 日程,https://www.police.pref.tokushima.jp/07tetuduki/index.html,shoothunt参照,2025-09-11
37,香川県,四国,初心者講習 日程,https://www.pref.kagawa.lg.jp/police/seikatuanzen/tetuzuki/teppou.html,shoothunt参照,2025-09-11
38,愛媛県,四国,初心者講習 日程,https://www.police.pref.ehime.jp/section/seian.html,shoothunt参照,2025-09-11
39,高知県,四国,初心者講習 日程,https://www.police.pref.kochi.lg.jp/docs/2023103000300/,shoothunt参照,2025-09-11
40,福岡県,九州・沖縄,初心者講習 日程,https://www.police.pref.fukuoka.jp/seian/seikan/jyuho/002.html,shoothunt参照,2025-09-11
41,佐賀県,九州・沖縄,初心者講習 日程,https://www.police.pref.saga.jp/shinsei/seikatsuanzen/_1016/_1033/_2885.html,shoothunt参照,2025-09-11
42,長崎県,九州・沖縄,初心者講習 日程,https://www.police.pref.nagasaki.jp/police/shinsei/juuhoutouken/oshirase/,shoothunt参照,2025-09-11
43,熊本県,九州・沖縄,初心者講習 日程,https://www.pref.kumamoto.jp/site/police/52138.html,shoothunt参照,2025-09-11
44,大分県,九州・沖縄,初心者講習 日程,https://www.pref.oita.jp/site/keisatu/tuutatu-seian.html,shoothunt参照,2025-09-11
45,宮崎県,九州・沖縄,初心者講習 日程,https://www.pref.miyazaki.lg.jp/police/anzen/seikatsuanzenbu.html,shoothunt参照,2025-09-11
46,鹿児島県,九州・沖縄,初心者講習 日程,https://www.pref.kagoshima.jp/ja09/juutokousyuu.html,shoothunt参照,2025-09-11
47,沖縄県,九州・沖縄,初心者講習 日程,https://www.police.pref.okinawa.jp/bunya/shinseitetsuduki/,shoothunt参照,2025-09-11
