no,prefecture,official_url,status,application_period,exam_date,exam_type,venue,checked_date
1,北海道,https://www.pref.hokkaido.lg.jp/ks/skn/syuryo/syuryoumenkyo.html,要確認,,,,,2026-04-07
2,青森県,https://www.pref.aomori.lg.jp/soshiki/kankyo/shizen/syuryoumenkyo.html,要確認,,,,,2026-04-07
3,岩手県,https://www.pref.iwate.jp/,未公表,,,,,2026-04-07
4,宮城県,https://www.pref.miyagi.jp/soshiki/sizenhogo/syuryoumenkyosiken.html,要確認,,,,,2026-04-07
5,秋田県,https://www.pref.akita.lg.jp/pages/genre/69054,要確認,,,,,2026-04-07
6,山形県,https://www.pref.yamagata.jp/050011/kurashi/shizen/seibutsu/about_hunting/text.html,要確認,,,,,2026-04-07
7,福島県,https://www.pref.fukushima.lg.jp/sec/01220a/kenmin-shuryou.html,要確認,,,,,2026-04-07
8,茨城県,https://www.pref.ibaraki.jp/seikatsukankyo/shizen/shizen/hunting_license_exam/exam.html,公開済,2026-04-17〜2026-05-07,2026-05-17,第一種銃猟 / 第二種銃猟,茨城県狩猟者研修センター（笠間市石寺680番地）,2026-04-07
8,茨城県,https://www.pref.ibaraki.jp/seikatsukankyo/shizen/shizen/hunting_license_exam/exam.html,公開済,2026-05-08〜2026-05-28,2026-06-09,網猟 / わな猟,茨城県狩猟者研修センター（笠間市石寺680番地）,2026-04-07
8,茨城県,https://www.pref.ibaraki.jp/seikatsukankyo/shizen/shizen/hunting_license_exam/exam.html,公開済,2026-06-12〜2026-07-02,2026-07-12,第一種銃猟 / 第二種銃猟,茨城県狩猟者研修センター（笠間市石寺680番地）,2026-04-07
9,栃木県,https://www.pref.tochigi.lg.jp/d56/kanrika/syuryou.html,要確認,,,,,2026-04-07
10,群馬県,https://www.pref.gunma.jp/,要確認,,,,,2026-04-07
11,埼玉県,https://www.pref.saitama.lg.jp/a0508/tyouzyu/syuryomenkyo/shiken.html,未公表,,,,,2026-04-07
12,千葉県,https://www.pref.chiba.lg.jp/shizen/tetsuzuki/syuryo/index.html,要確認,,,,,2026-04-07
13,東京都,https://www.metro.tokyo.lg.jp/,要確認,,,,,2026-04-07
14,神奈川県,https://www.pref.kanagawa.jp/docs/t4i/cnt/f986/p889836.html,公開済,2026-05-08〜2026-05-21,2026-07-06,第一種銃猟（単願） / 第二種銃猟（単願） / わな猟・第一種銃猟（併願） / わな猟・第二種銃猟（併願）,小田原合同庁舎（小田原市荻窪350-1）,2026-04-07
